"","Age","Employment","Education","Marital","Occupation","Income","Gender","Deductions","Hours","RISK_Adjustment","TARGET_Adjusted"
"1310818",33,"Private","Pre_HS","Absent","Service",32550.53,"Male",0,40,0,0
"1312365",64,"Private","HSgrad","Married","Blue_Collar",61592.42,"Male",0,40,0,0
"1312435",44,"Private","Bachelor","Married","Service",37662.02,"Male",0,50,7688,1
"1314358",23,"Private","College","Absent","Service",100335.51,"Female",0,35,0,0
"1315432",22,"Private","HSgrad","Absent","Service",342939.73,"Female",0,35,0,0
"1318398",49,"Government","Bachelor","Married","White_Collar",30098.58,"Male",0,50,5239,1
"1322745",28,"Government","HSgrad","Absent","White_Collar",150516.9,"Female",0,70,0,0
"1325704",36,"Private","HSgrad","Divorced","Service",43380.64,"Male",0,50,0,0
"1347511",22,"Private","Bachelor","Absent","Professional",24584.08,"Female",0,15,0,0
"1365727",29,"Private","College","Married","Service",25402.11,"Male",0,55,0,0
"1367013",26,"Private","College","Absent","Service",151462.25,"Male",0,20,0,0
"1367887",44,"Private","Bachelor","Married","White_Collar",29461.26,"Male",0,40,10198,1
"1382647",26,"Private","College","Absent","White_Collar",38142.98,"Female",0,8,0,0
"1383516",28,"Private","Bachelor","Absent","White_Collar",76539.28,"Female",0,60,0,0
"1391108",19,"Private","Pre_HS","Absent","Service",71627.78,"Female",0,25,0,0
"1394083",45,"Consultant","HSgrad","Married","Service",38599.89,"Male",0,50,4375,1
"1398239",35,"Private","College","Divorced","Service",9034.01,"Female",0,35,0,0
"1398832",42,"Private","College","Married","Service",22787.48,"Male",0,30,0,0
"1400557",58,"Government","Bachelor","Married","Professional",33252.79,"Male",0,40,0,0
"1401108",55,"Private","College","Married","Blue_Collar",39087.51,"Male",0,40,0,0
"1434262",25,"Private","HSgrad","Absent","Blue_Collar",174812.5,"Male",0,28,0,0
"1440111",78,"SelfEmp_Other","Bachelor","Married","White_Collar",39472.73,"Male",0,45,9386,1
"1454004",53,"Government","HSgrad","Married","White_Collar",56065.12,"Male",0,60,0,0
"1455874",34,"Private","College","Married","White_Collar",35910.03,"Male",0,40,0,0
"1457685",28,"Private","College","Married","Service",37249.5,"Male",0,40,0,0
"1467638",50,"Private","HSgrad","Married","Service",47011.78,"Male",0,48,0,0
"1467797",47,"Consultant","College","Married","White_Collar",203798.03,"Female",0,35,4779,1
"1471496",61,"SelfEmp_Other","Bachelor","Widowed","White_Collar",92158.43,"Female",0,99,0,0
"1472475",45,"Consultant","College","Absent","Professional",91088.9,"Male",0,30,0,1
"1474194",33,"Private","HSgrad","Married","Blue_Collar",34078.48,"Male",0,40,0,0
"1474221",39,"Private","Bachelor","Married","Service",27397.18,"Male",0,50,1002,1
"1488053",60,"Private","College","Divorced","Blue_Collar",86618.25,"Male",0,44,7510,1
"1493406",43,"Private","College","Married","Professional",27604.3,"Male",0,40,0,0
"1495310",35,"Private","HSgrad","Absent","White_Collar",60272.71,"Male",0,40,8614,1
"1495484",22,"Private","Pre_HS","Absent","Service",54640.91,"Male",0,84,0,0
"1502038",63,"Private","College","Married","Blue_Collar",32562.24,"Male",0,45,0,0
"1502111",64,"Private","College","Widowed","White_Collar",73525.6,"Female",0,3,0,0
"1505676",54,"Private","HSgrad","Married","Blue_Collar",27254.75,"Male",0,45,1650,1
"1509085",57,"Private","HSgrad","Widowed","White_Collar",81343.45,"Female",0,40,0,0
"1515465",45,"Private","College","Divorced","Service",125370.21,"Female",0,40,0,0
"1518173",33,"Private","Bachelor","Married","White_Collar",129091.19,"Female",0,40,4195,1
"1524841",25,"Private","HSgrad","Absent","Service",177873.59,"Male",0,40,0,0
"1530194",29,"Private","College","Absent","Blue_Collar",64358.33,"Male",0,50,0,0
"1531306",46,"Private","HSgrad","Married","White_Collar",41442.67,"Male",0,40,12334,1
"1534678",46,"Private","College","Absent","Professional",80318.75,"Female",0,33,0,0
"1541756",22,"Private","HSgrad","Absent","Service",70541.91,"Female",0,35,0,0
"1545759",36,"Private","HSgrad","Married","Blue_Collar",37634.41,"Male",1887,60,4604,1
"1545762",30,"Private","College","Married","Blue_Collar",53662.74,"Male",0,40,9972,1
"1548067",28,"Private","HSgrad","Absent","Blue_Collar",156434.13,"Male",0,30,0,0
"1548224",21,"Government","College","Absent","Service",19720.37,"Female",0,10,0,0
"1551622",63,"Consultant","College","Married","Blue_Collar",17461.25,"Male",0,35,6248,1
"1557461",32,"Private","Pre_HS","Absent","Blue_Collar",103733.33,"Male",0,50,0,0
"1579205",32,"Government","Bachelor","Married","Professional",163587.6,"Female",0,35,0,1
"1585271",22,"Private","Pre_HS","Absent","White_Collar",94412.83,"Female",0,40,0,0
"1588605",22,"Private","College","Absent","Blue_Collar",223592.88,"Male",0,35,0,0
"1597428",40,"Private","HSgrad","Married","Professional",49546.92,"Male",1902,40,0,1
"1598679",31,"Private","College","Married","White_Collar",22086.63,"Male",0,40,0,0
"1600316",33,"Private","College","Married","Blue_Collar",198418.74,"Male",0,40,0,0
"1608800",23,"Private","College","Divorced","Service",115237.91,"Female",0,40,0,0
"1611099",59,"Consultant","Bachelor","Widowed","Professional",126304,"Female",0,50,1864,1
"1612385",35,"Private","Bachelor","Married","White_Collar",64517.85,"Male",0,50,7688,1
"1624617",39,"Private","HSgrad","Married","White_Collar",263252.35,"Female",0,25,0,0
"1637260",40,"Consultant","Bachelor","Married","Blue_Collar",34674.28,"Male",0,50,0,0
"1639863",23,"Private","HSgrad","Absent","Blue_Collar",50797.42,"Male",0,40,0,0
"1641472",45,"Private","HSgrad","Absent","Blue_Collar",123634.05,"Male",0,40,0,0
"1641476",17,"Private","Pre_HS","Absent","Service",130301.1,"Male",0,22,0,0
"1647650",59,"Private","HSgrad","Widowed","Service",53968.46,"Female",0,10,0,0
"1648985",37,"Private","College","Divorced","Service",66341.59,"Male",0,40,0,0
"1654599",27,"Private","HSgrad","Married","Blue_Collar",13567.01,"Male",0,40,0,0
"1667037",82,"Private","Pre_HS","Widowed","Service",252435.63,"Male",0,20,0,0
"1670669",30,"Private","HSgrad","Married","Blue_Collar",35880.85,"Male",0,60,1681,1
"1679323",23,"Private","Bachelor","Absent","White_Collar",106057.24,"Male",0,30,0,0
"1681753",30,"Private","HSgrad","Married","Blue_Collar",50241.5,"Male",0,40,0,0
"1688602",43,"Private","College","Divorced","White_Collar",175224.4,"Female",0,45,0,0
"1690774",33,"Private","Bachelor","Married","Professional",9371.51,"Male",0,40,0,0
"1699810",28,"Private","HSgrad","Married","Service",35189.05,"Male",0,55,0,0
"1706370",37,"Private","Pre_HS","Absent","White_Collar",98176.24,"Female",0,40,0,0
"1709319",39,"Private","Bachelor","Married","White_Collar",22030.33,"Male",0,45,0,0
"1711915",62,"Government","Bachelor","Divorced","Professional",77664.69,"Male",0,40,0,0
"1718282",41,"Private","Bachelor","Married","Professional",18754.25,"Male",0,40,-961,1
"1718309",44,"Government","Bachelor","Divorced","Professional",243076.64,"Female",0,60,0,0
"1722201",43,"Private","HSgrad","Divorced","White_Collar",43002.61,"Female",0,40,0,0
"1722542",29,"Private","College","Absent","Professional",88981.36,"Female",0,40,0,0
"1723024",42,"Private","Bachelor","Married","White_Collar",66952.28,"Male",0,40,0,0
"1731662",40,"Private","HSgrad","Married","Blue_Collar",144187.19,"Female",0,40,7298,1
"1742535",29,"Government","College","Married","White_Collar",54390.65,"Male",0,40,5298,1
"1747347",55,"Government","College","Married","White_Collar",45804.12,"Male",0,40,2889,1
"1761439",45,"Government","Bachelor","Divorced","Professional",133907.33,"Female",0,40,0,0
"1767024",30,"Private","HSgrad","Married","White_Collar",56622.85,"Male",0,50,0,0
"1770057",34,"Private","HSgrad","Married","White_Collar",4524.86,"Male",0,40,0,1
"1777740",46,"Private","HSgrad","Married","Service",32944.03,"Male",0,45,3875,1
"1782051",54,"Government","Bachelor","Absent","White_Collar",71715.5,"Female",0,50,7879,1
"1782989",19,"Private","College","Absent","Service",93070,"Female",0,30,0,0
"1787841",37,"Private","Bachelor","Married","Service",30353.77,"Male",0,60,5627,1
"1792615",61,"Private","Pre_HS","Divorced","Blue_Collar",184682.08,"Female",0,40,0,0
"1796280",50,"Private","HSgrad","Married","Blue_Collar",16026.5,"Male",0,40,0,0
"1797150",70,"Private","Bachelor","Married","Blue_Collar",72715.96,"Male",0,40,6418,1
"1797445",51,"Private","HSgrad","Unmarried","Blue_Collar",70442.44,"Male",1250.666667,40,0,0
"1807406",56,"Private","Pre_HS","Married","Blue_Collar",49237.33,"Male",0,26,0,0
"1808117",18,"Private","Pre_HS","Absent","Service",52489.11,"Female",0,25,0,0
"1819322",21,"Private","College","Absent","Blue_Collar",82725.18,"Female",1068,30,0,0
"1823237",65,"Private","HSgrad","Widowed","White_Collar",115548.72,"Female",0,20,0,0
"1824560",24,"Private","College","Absent","Service",113979.53,"Female",0,35,0,0
"1827120",35,"SelfEmp_Other","Bachelor","Unmarried","Professional",42736.77,"Female",0,50,0,0
"1833635",32,"Private","College","Absent","Blue_Collar",96488.54,"Male",0,72,0,0
"1834675",42,"Private","Bachelor","Married","Service",97187.73,"Male",0,60,0,0
"1838203",34,"Private","Bachelor","Married","White_Collar",35573.04,"Male",1977,45,4033,1
"1839135",53,"Private","HSgrad","Married","White_Collar",30301.98,"Male",0,60,2890,1
"1841487",30,"Private","College","Married","White_Collar",21551.74,"Female",0,24,0,0
"1845737",28,"Private","HSgrad","Divorced","Blue_Collar",73730.39,"Male",0,40,0,0
"1851537",36,"Private","HSgrad","Absent","White_Collar",22529.54,"Female",0,38,0,0
"1860764",44,"Consultant","HSgrad","Married","Blue_Collar",45104.93,"Male",0,50,7298,1
"1861969",34,"Private","College","Absent","Professional",70635.85,"Female",0,40,0,0
"1866077",52,"Private","HSgrad","Divorced","Blue_Collar",2382.43,"Male",0,40,0,0
"1872825",36,"Private","Pre_HS","Married","Blue_Collar",34268.18,"Male",0,40,0,0
"1875875",32,"Government","HSgrad","Absent","Service",112250.05,"Female",0,32,0,0
"1877898",73,"SelfEmp_Other","Bachelor","Married","Service",20608.32,"Male",0,50,1639,1
"1880936",54,"Government","Bachelor","Divorced","Professional",95784.2,"Female",0,40,0,0
"1892697",22,"Government","College","Absent","White_Collar",72111.64,"Female",0,55,0,0
"1906994",45,"Private","HSgrad","Married","Blue_Collar",37605.81,"Male",0,40,0,0
"1940825",34,"Private","HSgrad","Absent","Blue_Collar",110412.9,"Male",0,40,0,0
"1943338",53,"Government","Pre_HS","Absent","Blue_Collar",123739.96,"Female",0,35,0,0
"1947669",30,"Private","HSgrad","Married","Blue_Collar",28988.26,"Male",0,40,0,0
"1950125",40,"Government","Bachelor","Divorced","Professional",296284.55,"Female",0,40,0,0
"1956654",25,"Private","HSgrad","Absent","White_Collar",74001.2,"Male",0,45,0,0
"1965508",60,"SelfEmp_Other","HSgrad","Married","White_Collar",235662.8,"Female",0,15,15024,1
"1967691",38,"Private","Pre_HS","Divorced","Blue_Collar",68357.88,"Female",0,40,0,0
"1970671",23,"Private","College","Absent","Service",48397.69,"Male",0,25,0,0
"1972687",31,"Private","College","Married","Blue_Collar",37051.71,"Male",0,40,4940,1
"1976104",23,"Private","College","Married","Blue_Collar",47123.24,"Male",0,40,0,0
"1980500",74,"Consultant","Bachelor","Married","Professional",40643.16,"Male",0,25,5911,1
"1983846",19,"Private","HSgrad","Absent","Service",20263.3,"Female",0,30,0,0
"1985107",39,"Private","Bachelor","Absent","White_Collar",57245.29,"Male",0,45,0,0
"1985953",29,"Private","College","Absent","Service",113713.14,"Male",0,30,0,0
"1992467",43,"Private","Bachelor","Married","White_Collar",26718.94,"Male",0,50,4954,1
"1995711",26,"Government","Bachelor","Absent","Professional",80090.43,"Female",0,40,0,0
"1996140",19,"Private","Pre_HS","Absent","Blue_Collar",71065.53,"Male",0,56,0,0
"1997523",40,"SelfEmp_Other","Bachelor","Married","Professional",30140.84,"Male",0,60,0,0
"2000211",57,"Private","HSgrad","Widowed","White_Collar",55758.54,"Female",0,36,0,0
"2011832",40,"Private","HSgrad","Divorced","Blue_Collar",63728.57,"Male",0,40,0,0
"2012035",29,"Private","College","Married","Blue_Collar",32079.84,"Male",0,20,0,0
"2016936",36,"Government","HSgrad","Absent","White_Collar",154637.16,"Female",0,36,0,0
"2023005",57,"SelfEmp_Other","College","Married","White_Collar",3392.03,"Male",0,40,0,0
"2025734",19,"Private","College","Absent","Blue_Collar",78338.21,"Male",0,20,0,0
"2027200",20,"Private","Pre_HS","Absent","Blue_Collar",177097.76,"Male",0,40,0,0
"2027449",48,"Private","HSgrad","Widowed","Blue_Collar",116242.34,"Female",0,16,0,0
"2033495",18,"Private","HSgrad","Absent","Service",76092.27,"Male",0,36,0,0
"2042579",50,"Private","College","Married","Service",33450.41,"Male",0,60,0,0
"2044175",72,"SelfEmp_Other","HSgrad","Married","Other_Unknown",15651.39,"Male",0,8,0,0
"2049462",58,"Private","HSgrad","Married","Service",37168.49,"Male",0,40,3760,1
"2062685",40,"Private","College","Married","Blue_Collar",39443.33,"Male",0,40,0,0
"2064390",35,"Private","Pre_HS","Married","Blue_Collar",38106.16,"Male",0,40,0,0
"2065595",22,"SelfEmp_Other","HSgrad","Divorced","Other_Unknown",81137.85,"Female",0,40,0,0
"2070773",23,"Private","HSgrad","Absent","Service",106275.4,"Male",0,40,0,0
"2077101",41,"Private","College","Married","Blue_Collar",12651.15,"Male",0,42,7298,1
"2094476",18,"Private","HSgrad","Absent","Service",209114.75,"Female",0,30,0,0
"2101387",42,"Consultant","Bachelor","Absent","Professional",74757.49,"Female",0,45,0,0
"2102127",54,"Consultant","College","Married","Service",29282.08,"Male",0,30,0,0
"2102378",44,"Consultant","HSgrad","Married","Blue_Collar",22917.76,"Male",0,40,0,0
"2109381",44,"Private","HSgrad","Married","Blue_Collar",35956.04,"Male",0,41,0,0
"2109898",51,"Private","College","Married","Blue_Collar",42628.43,"Male",0,48,3103,1
"2114154",38,"Government","Bachelor","Absent","White_Collar",59178.12,"Male",0,40,0,0
"2114608",41,"Private","College","Divorced","Service",10747.59,"Female",0,48,0,0
"2129840",33,"Consultant","HSgrad","Married","Service",72286.49,"Male",0,60,0,0
"2134046",21,"Private","HSgrad","Absent","Service",162103.43,"Male",0,40,0,0
"2134599",37,"Consultant","HSgrad","Married","Blue_Collar",41964.4,"Male",0,40,0,0
"2134665",41,"Private","College","Married","White_Collar",192398.74,"Male",0,40,1695,1
"2137895",49,"SelfEmp_Other","College","Married","Professional",189129.57,"Female",0,65,5600,1
"2143793",39,"Private","HSgrad","Absent","Blue_Collar",89935.48,"Male",0,40,0,0
"2160461",24,"Private","HSgrad","Divorced","Blue_Collar",55642.17,"Male",0,40,0,0
"2161054",65,"Government","HSgrad","Married","White_Collar",49027.46,"Male",2174,40,0,1
"2179519",55,"Private","HSgrad","Married","Blue_Collar",29965.82,"Male",0,45,0,1
"2194621",34,"Private","Bachelor","Married","White_Collar",81462.83,"Female",0,25,0,0
"2204629",33,"Private","College","Married","Professional",27593.68,"Male",0,40,0,0
"2206284",30,"Private","HSgrad","Married","Blue_Collar",29380.77,"Male",1848,40,5848,1
"2206428",51,"Private","College","Married","White_Collar",20300.74,"Male",0,50,3925,1
"2214801",50,"Private","Bachelor","Divorced","Professional",133620.15,"Female",0,36,0,0
"2215657",29,"Private","HSgrad","Absent","White_Collar",86241.61,"Female",0,40,0,0
"2242093",36,"Private","Bachelor","Married","Professional",7377.51,"Male",1902,50,5240,1
"2242654",45,"Government","Bachelor","Divorced","Professional",25419.27,"Male",0,40,0,0
"2243150",45,"Consultant","HSgrad","Married","White_Collar",11373.45,"Male",0,50,0,0
"2243772",40,"Private","Pre_HS","Absent","Service",166702.86,"Female",0,40,0,0
"2245751",27,"Private","College","Married","Service",59321.84,"Male",0,50,0,0
"2254279",20,"Government","HSgrad","Absent","Blue_Collar",171960.33,"Male",0,40,0,0
"2288670",30,"Private","College","Divorced","Service",107142.62,"Male",0,40,0,0
"2293213",47,"Government","HSgrad","Married","White_Collar",146328.63,"Female",0,40,15692,1
"2298185",18,"SelfEmp_Other","College","Absent","Other_Unknown",258160.48,"Male",0,16,0,0
"2298621",41,"Private","College","Divorced","White_Collar",59474.99,"Female",0,55,0,0
"2300606",26,"Government","Bachelor","Absent","White_Collar",64037.85,"Male",0,42,0,0
"2305277",45,"Consultant","Bachelor","Married","Service",24800.44,"Male",0,40,0,1
"2314294",39,"Private","Bachelor","Absent","White_Collar",75918.15,"Male",0,50,0,1
"2323070",55,"Private","College","Married","Professional",35359,"Male",0,40,0,0
"2326052",46,"Private","HSgrad","Divorced","Professional",126466.42,"Female",0,40,0,0
"2336844",27,"Private","Pre_HS","Married","Service",27989.97,"Male",0,40,0,0
"2345121",51,"Private","College","Absent","White_Collar",75170.57,"Female",0,12,0,0
"2350330",25,"Government","HSgrad","Absent","Blue_Collar",179015.01,"Male",1146,16,0,0
"2350883",37,"Government","College","Married","Blue_Collar",21520.56,"Male",0,40,0,0
"2361729",44,"Private","College","Unmarried","White_Collar",80553.73,"Male",1320,45,0,0
"2361855",27,"Private","College","Married","White_Collar",199104.55,"Female",0,25,0,0
"2364781",63,"Private","HSgrad","Widowed","Service",155241.01,"Female",0,40,0,0
"2369739",21,"Private","College","Absent","Blue_Collar",39249.37,"Male",0,30,0,0
"2371361",41,"Government","College","Married","Service",27621.04,"Male",0,40,1457,1
"2371954",38,"Private","College","Married","Blue_Collar",55660.1,"Male",0,40,2500,1
"2382668",44,"Consultant","College","Divorced","Blue_Collar",192599.61,"Male",0,40,0,0
"2383312",22,"SelfEmp_Other","College","Absent","Other_Unknown",92014.13,"Male",0,40,0,0
"2387868",52,"Private","HSgrad","Married","Blue_Collar",38175.16,"Male",0,50,2505,1
"2392506",51,"Government","Pre_HS","Married","Service",50305.81,"Male",0,40,0,0
"2394361",67,"Government","Bachelor","Married","Professional",15898.03,"Male",0,12,0,0
"2403809",58,"Private","College","Married","White_Collar",49228.83,"Male",0,40,0,1
"2405630",52,"SelfEmp_Other","Bachelor","Married","Service",41019.67,"Male",0,55,0,0
"2411282",42,"Private","Bachelor","Absent","Professional",105677.14,"Male",0,36,10302,1
"2413489",41,"Private","Bachelor","Married","Professional",39795.37,"Male",0,50,15024,1
"2415457",21,"SelfEmp_Other","College","Absent","Other_Unknown",150958.41,"Male",0,30,0,0
"2416521",53,"Government","Pre_HS","Married","Service",14646.62,"Male",0,40,10379,1
"2424026",40,"Private","College","Married","Professional",385067.54,"Female",0,40,0,0
"2426379",41,"Private","Bachelor","Married","Professional",25307.22,"Male",0,40,0,0
"2430330",60,"Consultant","HSgrad","Married","Service",36145.47,"Male",0,45,0,0
"2434068",39,"Private","HSgrad","Married","Blue_Collar",32080.22,"Male",1367.333333,40,0,0
"2445821",29,"Private","HSgrad","Divorced","Service",80201.6,"Female",0,36,0,0
"2452832",29,"Private","Pre_HS","Absent","Service",152961.87,"Female",0,40,0,0
"2464767",28,"Consultant","Bachelor","Absent","Professional",88287.76,"Male",0,50,3788,1
"2467157",75,"SelfEmp_Other","Pre_HS","Widowed","Other_Unknown",126406.52,"Female",0,1,0,0
"2470323",40,"Private","College","Divorced","Service",55147.82,"Female",0,40,0,0
"2470481",21,"Private","HSgrad","Absent","Blue_Collar",104110.16,"Male",0,40,0,0
"2474583",31,"Private","College","Absent","White_Collar",609.72,"Male",0,40,0,0
"2476679",23,"Government","HSgrad","Absent","Blue_Collar",27390.28,"Male",0,40,0,0
"2478789",54,"Private","Bachelor","Married","Professional",29811.43,"Male",0,60,0,0
"2491453",23,"Private","College","Absent","Service",36254.32,"Male",0,40,0,0
"2497345",18,"SelfEmp_Other","Pre_HS","Absent","Other_Unknown",175051.39,"Male",0,20,0,0
"2497561",29,"Private","HSgrad","Married","Service",67901.35,"Male",0,40,0,0
"2497708",20,"Government","College","Absent","Service",126038.65,"Male",0,25,0,0
"2500488",37,"Private","College","Divorced","Blue_Collar",53249.24,"Male",0,50,0,0
"2507928",28,"Private","Bachelor","Absent","White_Collar",57135.48,"Female",0,45,0,0
"2511963",65,"Consultant","College","Married","White_Collar",29100.18,"Male",2174,10,7525,1
"2514591",37,"Government","College","Married","White_Collar",147993.31,"Female",0,27,0,0
"2514943",21,"Private","HSgrad","Absent","Service",70275.91,"Female",0,30,0,0
"2515064",51,"Private","HSgrad","Married","Blue_Collar",22770.44,"Male",0,40,0,0
"2519287",54,"Private","College","Married","Service",66433.01,"Male",0,40,7688,1
"2520820",46,"Private","College","Divorced","White_Collar",47070.57,"Female",0,40,0,0
"2525379",35,"Private","HSgrad","Absent","Blue_Collar",279599.42,"Female",0,48,0,0
"2533797",43,"Government","Bachelor","Married","White_Collar",15762.95,"Male",0,40,7107,1
"2549383",32,"Consultant","Pre_HS","Unmarried","Blue_Collar",93671.92,"Female",0,40,0,0
"2551914",64,"Private","HSgrad","Widowed","White_Collar",73486.06,"Female",0,30,0,0
"2556296",46,"Government","College","Divorced","White_Collar",111422.53,"Female",0,40,0,0
"2559947",29,"Private","HSgrad","Married","Service",329171.43,"Female",0,18,0,0
"2566804",27,"Private","HSgrad","Absent","Blue_Collar",104372.79,"Male",0,35,0,0
"2567163",50,"Private","HSgrad","Divorced","Professional",145031.73,"Female",0,40,0,0
"2571658",50,"Private","Bachelor","Married","Professional",26158.2,"Male",0,43,2024,1
"2578547",45,"Private","Pre_HS","Married","Blue_Collar",59534.87,"Male",0,40,0,0
